#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A36376
#Date Time: 2019-03-14 16:04:16.854
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 2.95 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: -500 mV
#Channel 2: Range: 500 mV/div Offset: -500 mV
#Math 1: Function: (C1-C2)/301

Time (s),Channel 1 (V),Channel 2 (V),Math 1 (A)
-0.0048875,0.0219529,-0.000600936,7.49296e-05
-0.00488625,0.0222841,-0.000265419,7.49153e-05
-0.004885,0.0212905,-0.000265419,7.16143e-05
-0.00488375,0.0216217,-0.000265419,7.27146e-05
-0.0048825,0.0216217,-0.000265419,7.27146e-05
-0.00488125,0.0219529,-0.000265419,7.3815e-05
-0.00488,0.0216217,-0.000265419,7.27146e-05
-0.00487875,0.0216217,-0.000265419,7.27146e-05
-0.0048775,0.0216217,-0.000600936,7.38293e-05
-0.00487625,0.0212905,-0.000600936,7.2729e-05
-0.004875,0.0212905,-0.000265419,7.16143e-05
-0.00487375,0.0212905,-0.000265419,7.16143e-05
-0.0048725,0.0212905,-0.000936452,7.38437e-05
-0.00487125,0.0216217,-0.000265419,7.27146e-05
-0.00487,0.0216217,-0.000936452,7.4944e-05
-0.00486875,0.0219529,-0.000600936,7.49296e-05
-0.0048675,0.0216217,-0.000265419,7.27146e-05
-0.00486625,0.0216217,-0.000265419,7.27146e-05
-0.004865,0.0219529,-0.000265419,7.3815e-05
-0.00486375,0.0216217,-0.000265419,7.27146e-05
-0.0048625,0.0216217,-0.000265419,7.27146e-05
-0.00486125,0.0212905,-0.000265419,7.16143e-05
-0.00486,0.0216217,-0.000265419,7.27146e-05
-0.00485875,0.0219529,-0.000265419,7.3815e-05
-0.0048575,0.0212905,-0.000265419,7.16143e-05
-0.00485625,0.0216217,7.00975e-05,7.16e-05
-0.004855,0.0212905,7.00975e-05,7.04997e-05
-0.00485375,0.0216217,-0.000600936,7.38293e-05
-0.0048525,0.0216217,-0.000600936,7.38293e-05
-0.00485125,0.0212905,-0.000936452,7.38437e-05
-0.00485,0.0212905,-0.000600936,7.2729e-05
-0.00484875,0.0216217,-0.000265419,7.27146e-05
-0.0048475,0.0209593,-0.000600936,7.16287e-05
-0.00484625,0.0212905,-0.000600936,7.2729e-05
-0.004845,0.0209593,-0.000600936,7.16287e-05
-0.00484375,0.0212905,-0.000600936,7.2729e-05
-0.0048425,0.0212905,-0.000265419,7.16143e-05
-0.00484125,0.0219529,-0.000936452,7.60443e-05
-0.00484,0.0216217,-0.000600936,7.38293e-05
-0.00483875,0.0209593,-0.000265419,7.0514e-05
-0.0048375,0.0209593,-0.000265419,7.0514e-05
-0.00483625,0.0212905,-0.000600936,7.2729e-05
-0.004835,0.0212905,-0.000265419,7.16143e-05
-0.00483375,0.0206281,-0.000265419,6.94137e-05
-0.0048325,0.0209593,-0.000600936,7.16287e-05
-0.00483125,0.0209593,-0.000265419,7.0514e-05
-0.00483,0.0209593,-0.000600936,7.16287e-05
