#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A36376
#Date Time: 2019-03-14 15:58:00.707
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 2.95 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: -500 mV
#Channel 2: Range: 500 mV/div Offset: -500 mV
#Math 2: Function: (C1-C2)/0.00017053

Time (s),Channel 1 (V),Channel 2 (V),Math 2 (Ω)
-0.0047375,0.0206281,-0.000265419,122.521
-0.00473625,0.0209593,-0.000265419,124.463
-0.004735,0.0209593,-0.000265419,124.463
-0.00473375,0.0212905,-0.000265419,126.405
-0.0047325,0.0216217,7.00975e-05,126.38
-0.00473125,0.0212905,7.00975e-05,124.438
-0.00473,0.0216217,-0.000265419,128.348
-0.00472875,0.0222841,-0.000265419,132.232
-0.0047275,0.0226153,-0.000265419,134.174
-0.00472625,0.0216217,-0.000265419,128.348
-0.004725,0.0222841,7.00975e-05,130.264
-0.00472375,0.0229465,-0.000265419,136.116
-0.0047225,0.0232777,7.00975e-05,136.091
-0.00472125,0.0226153,-0.000265419,134.174
-0.00472,0.0229465,-0.000600936,138.084
-0.00471875,0.02394,-0.000600936,143.91
-0.0047175,0.0236088,-0.000600936,141.968
-0.00471625,0.0236088,-0.000936452,143.935
-0.004715,0.0236088,-0.000600936,141.968
-0.00471375,0.0232777,-0.000265419,138.058
-0.0047125,0.0236088,7.00975e-05,138.033
-0.00471125,0.02394,7.00975e-05,139.975
-0.00471,0.0242712,-0.000265419,143.885
-0.00470875,0.0226153,-0.000936452,138.109
-0.0047075,0.0219529,-0.000600936,132.257
-0.00470625,0.0222841,-0.000265419,132.232
-0.004705,0.0226153,-0.000265419,134.174
-0.00470375,0.0229465,7.00975e-05,134.149
-0.0047025,0.0226153,7.00975e-05,132.206
-0.00470125,0.0229465,0.000405614,132.181
-0.0047,0.0226153,7.00975e-05,132.206
-0.00469875,0.0226153,0.000405614,130.239
-0.0046975,0.0226153,0.000405614,130.239
-0.00469625,0.0226153,7.00975e-05,132.206
-0.004695,0.0229465,0.000405614,132.181
-0.00469375,0.0232777,0.000405614,134.123
-0.0046925,0.0229465,0.000405614,132.181
-0.00469125,0.0229465,0.000405614,132.181
-0.00469,0.0226153,7.00975e-05,132.206
-0.00468875,0.0226153,0.000405614,130.239
-0.0046875,0.0222841,0.000405614,128.297
-0.00468625,0.0226153,0.000405614,130.239
-0.004685,0.0226153,0.000405614,130.239
-0.00468375,0.0222841,7.00975e-05,130.264
-0.0046825,0.0226153,0.000405614,130.239
-0.00468125,0.0222841,0.000405614,128.297
-0.00468,0.0222841,7.00975e-05,130.264
-0.00467875,0.0222841,7.00975e-05,130.264
-0.0046775,0.0222841,-0.000265419,132.232
-0.00467625,0.0222841,0.000405614,128.297
-0.004675,0.0222841,-0.000265419,132.232
-0.00467375,0.0222841,7.00975e-05,130.264
-0.0046725,0.0219529,-0.000265419,130.29
-0.00467125,0.0219529,-0.000265419,130.29
-0.00467,0.0216217,-0.000265419,128.348
-0.00466875,0.0219529,7.00975e-05,128.322
-0.0046675,0.0219529,7.00975e-05,128.322
-0.00466625,0.0216217,7.00975e-05,126.38
-0.004665,0.0216217,7.00975e-05,126.38
-0.00466375,0.0216217,-0.000265419,128.348
-0.0046625,0.0212905,-0.000265419,126.405
-0.00466125,0.0212905,7.00975e-05,124.438
-0.00466,0.0209593,7.00975e-05,122.496
-0.00465875,0.0209593,7.00975e-05,122.496
-0.0046575,0.0212905,7.00975e-05,124.438
-0.00465625,0.0209593,7.00975e-05,122.496
-0.004655,0.0209593,7.00975e-05,122.496
-0.00465375,0.0209593,7.00975e-05,122.496
-0.0046525,0.0209593,-0.000265419,124.463
-0.00465125,0.0209593,-0.000265419,124.463
-0.00465,0.0202969,7.00975e-05,118.612
-0.00464875,0.0206281,7.00975e-05,120.554
-0.0046475,0.0206281,7.00975e-05,120.554
-0.00464625,0.0206281,7.00975e-05,120.554
-0.004645,0.0202969,-0.000265419,120.579
-0.00464375,0.0199657,0.000405614,114.702
-0.0046425,0.0199657,0.000405614,114.702
-0.00464125,0.0202969,7.00975e-05,118.612
-0.00464,0.0199657,7.00975e-05,116.669
-0.00463875,0.0202969,0.000405614,116.644
-0.0046375,0.0199657,-0.000600936,120.604
-0.00463625,0.0199657,-0.000265419,118.637
-0.004635,0.0199657,-0.000265419,118.637
-0.00463375,0.0196345,7.00975e-05,114.727
-0.0046325,0.0196345,7.00975e-05,114.727
-0.00463125,0.0193033,-0.000265419,114.753
-0.00463,0.0196345,7.00975e-05,114.727
-0.00462875,0.0193033,0.000405614,110.818
-0.0046275,0.0199657,7.00975e-05,116.669
-0.00462625,0.0196345,-0.000265419,116.695
-0.004625,0.0193033,-0.000265419,114.753
-0.00462375,0.0193033,7.00975e-05,112.785
-0.0046225,0.0193033,0.000405614,110.818
-0.00462125,0.0189721,-0.000265419,112.81
-0.00462,0.0189721,7.00975e-05,110.843
-0.00461875,0.0189721,7.00975e-05,110.843
-0.0046175,0.018641,-0.000265419,110.868
-0.00461625,0.0183098,-0.000600936,110.894
-0.004615,0.018641,0.000405614,106.933
-0.00461375,0.0183098,0.000405614,104.991
-0.0046125,0.0183098,7.00975e-05,106.959
-0.00461125,0.0179786,7.00975e-05,105.017
-0.00461,0.0143354,-0.000265419,85.6205
-0.00460875,-0.00917925,-0.000600936,-50.3038
-0.0046075,-0.013816,0.000405614,-83.3963
-0.00460625,-0.0144783,0.000741131,-89.248
-0.004605,-0.0148095,0.000741131,-91.1902
-0.00460375,-0.0154719,0.000741131,-95.0745
-0.0046025,-0.0161343,0.000405614,-96.9912
-0.00460125,-0.0171279,0.000405614,-102.818
-0.0046,-0.0177903,0.000405614,-106.702
-0.00459875,-0.0177903,0.000405614,-106.702
-0.0045975,-0.0177903,0.000405614,-106.702
-0.00459625,-0.0184527,0.000405614,-110.586
-0.004595,-0.0187838,0.000405614,-112.528
-0.00459375,-0.0194462,0.000405614,-116.413
-0.0045925,-0.0201086,0.000405614,-120.297
-0.00459125,-0.0201086,7.00975e-05,-118.329
-0.00459,-0.0201086,0.000405614,-120.297
-0.00458875,-0.0201086,0.000741131,-122.264
-0.0045875,-0.0204398,0.000405614,-122.239
-0.00458625,-0.020771,7.00975e-05,-122.214
-0.004585,-0.0211022,0.000405614,-126.123
-0.00458375,-0.0214334,0.000405614,-128.065
-0.0045825,-0.0214334,7.00975e-05,-126.098
-0.00458125,-0.0214334,7.00975e-05,-126.098
-0.00458,-0.0217646,7.00975e-05,-128.04
-0.00457875,-0.0220958,0.000405614,-131.95
-0.0045775,-0.0217646,7.00975e-05,-128.04
-0.00457625,-0.022427,0.000405614,-133.892
-0.004575,-0.0227582,7.00975e-05,-133.867
-0.00457375,-0.0230894,7.00975e-05,-135.809
-0.0045725,-0.0227582,-0.000265419,-131.899
-0.00457125,-0.022427,-0.000265419,-129.957
-0.00457,-0.0227582,7.00975e-05,-133.867
-0.00456875,-0.0230894,-0.000600936,-131.874
-0.0045675,-0.0227582,7.00975e-05,-133.867
-0.00456625,-0.0230894,-0.000265419,-133.841
-0.004565,-0.0230894,7.00975e-05,-135.809
-0.00456375,-0.0234205,0.000405614,-139.718
-0.0045625,-0.0234205,7.00975e-05,-137.751
-0.00456125,-0.0230894,7.00975e-05,-135.809
-0.00456,-0.0227582,-0.000265419,-131.899
-0.00455875,-0.0227582,7.00975e-05,-133.867
-0.0045575,-0.0227582,7.00975e-05,-133.867
-0.00455625,-0.0230894,-0.000265419,-133.841
-0.004555,-0.0234205,-0.000265419,-135.783
-0.00455375,-0.0230894,0.000405614,-137.776
-0.0045525,-0.0230894,7.00975e-05,-135.809
-0.00455125,-0.0230894,7.00975e-05,-135.809
-0.00455,-0.0237517,7.00975e-05,-139.693
-0.00454875,-0.0237517,0.000741131,-143.628
-0.0045475,-0.0237517,0.000405614,-141.66
-0.00454625,-0.0237517,-0.000265419,-137.725
-0.004545,-0.0230894,7.00975e-05,-135.809
-0.00454375,-0.0237517,7.00975e-05,-139.693
-0.0045425,-0.0240829,7.00975e-05,-141.635
-0.00454125,-0.0237517,7.00975e-05,-139.693
-0.00454,-0.0234205,-0.000265419,-135.783
-0.00453875,-0.0237517,-0.000265419,-137.725
-0.0045375,-0.0237517,-0.000265419,-137.725
-0.00453625,-0.0237517,-0.000265419,-137.725
-0.004535,-0.0234205,0.000405614,-139.718
-0.00453375,-0.0230894,0.000405614,-137.776
-0.0045325,-0.0234205,0.000405614,-139.718
-0.00453125,-0.0237517,7.00975e-05,-139.693
-0.00453,-0.0237517,7.00975e-05,-139.693
-0.00452875,-0.0240829,7.00975e-05,-141.635
-0.0045275,-0.0237517,7.00975e-05,-139.693
-0.00452625,-0.0234205,7.00975e-05,-137.751
-0.004525,-0.0240829,7.00975e-05,-141.635
-0.00452375,-0.0234205,0.000405614,-139.718
-0.0045225,-0.0237517,7.00975e-05,-139.693
-0.00452125,-0.0237517,0.000405614,-141.66
-0.00452,-0.0237517,7.00975e-05,-139.693
-0.00451875,-0.0234205,7.00975e-05,-137.751
-0.0045175,-0.0237517,7.00975e-05,-139.693
-0.00451625,-0.0234205,7.00975e-05,-137.751
-0.004515,-0.0230894,0.000405614,-137.776
-0.00451375,-0.0234205,0.000405614,-139.718
-0.0045125,-0.0230894,0.000741131,-139.744
-0.00451125,-0.0227582,7.00975e-05,-133.867
-0.00451,-0.0230894,7.00975e-05,-135.809
-0.00450875,-0.0230894,0.000405614,-137.776
-0.0045075,-0.0230894,-0.000265419,-133.841
-0.00450625,-0.0230894,7.00975e-05,-135.809
-0.004505,-0.022427,7.00975e-05,-131.924
-0.00450375,-0.0230894,0.000405614,-137.776
-0.0045025,-0.0230894,0.000405614,-137.776
-0.00450125,-0.0227582,0.000405614,-135.834
-0.0045,-0.0230894,0.000405614,-137.776
-0.00449875,-0.0227582,7.00975e-05,-133.867
-0.0044975,-0.0230894,7.00975e-05,-135.809
-0.00449625,-0.0227582,0.000405614,-135.834
-0.004495,-0.0227582,0.000405614,-135.834
-0.00449375,-0.0227582,-0.000265419,-131.899
-0.0044925,-0.0220958,-0.000265419,-128.015
-0.00449125,-0.0220958,7.00975e-05,-129.982
-0.00449,-0.022427,7.00975e-05,-131.924
-0.00448875,-0.0220958,0.000405614,-131.95
-0.0044875,-0.0220958,0.000741131,-133.917
-0.00448625,-0.022427,0.000405614,-133.892
-0.004485,-0.022427,0.000741131,-135.859
-0.00448375,-0.022427,0.000405614,-133.892
-0.0044825,-0.0217646,0.000405614,-130.008
-0.00448125,-0.0217646,0.00107665,-133.943
-0.00448,-0.0214334,0.000405614,-128.065
-0.00447875,-0.0220958,0.000405614,-131.95
-0.0044775,-0.022427,0.000741131,-135.859
-0.00447625,-0.0217646,0.000405614,-130.008
-0.004475,-0.0220958,0.000405614,-131.95
-0.00447375,-0.0214334,0.000741131,-130.033
-0.0044725,-0.0217646,0.000741131,-131.975
-0.00447125,-0.0217646,0.000405614,-130.008
-0.00447,-0.0217646,7.00975e-05,-128.04
