#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A36376
#Date Time: 2019-03-14 16:46:10.204
#Sample rate: 800Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: -2 V
#Channel 2: Range: 1 V/div Offset: -2 V
#Our λ: Function: C1/5*(1.36-0.65)+0.65
#Their λ: Function: C2/5*(1.36-0.68)+0.68
#Difference λ: Function: M2 -M1 

Time (s),Channel 1 (V),Channel 2 (V),Our λ (λ),Their λ (λ),Difference λ (λ)
-4.90625,1.90152,2.84618,0.920016,1.06708,0.147065
-4.905,1.88334,2.84618,0.917434,1.06708,0.149646
-4.90375,1.87606,2.84618,0.916401,1.06708,0.150679
-4.9025,1.87606,2.84618,0.916401,1.06708,0.150679
-4.90125,1.87606,2.84618,0.916401,1.06708,0.150679
-4.9,1.87606,2.84618,0.916401,1.06708,0.150679
-4.89875,1.87606,2.84618,0.916401,1.06708,0.150679
-4.8975,1.87606,2.84618,0.916401,1.06708,0.150679
-4.89625,1.87606,2.84618,0.916401,1.06708,0.150679
-4.895,1.87606,2.84618,0.916401,1.06708,0.150679
-4.89375,1.84697,2.84618,0.91227,1.06708,0.15481
-4.8925,1.84697,2.84618,0.91227,1.06708,0.15481
-4.89125,1.84697,2.40375,0.91227,1.00691,0.0946398
-4.89,1.84697,2.08299,0.91227,0.963287,0.0510163
-4.88875,1.84697,1.98713,0.91227,0.95025,0.0379794
-4.8875,1.84697,1.96132,0.91227,0.94674,0.0344695
-4.88625,1.84697,1.95395,0.91227,0.945737,0.0334666
-4.885,1.84697,1.95026,0.91227,0.945235,0.0329652
-4.88375,1.84697,1.95026,0.91227,0.945235,0.0329652
-4.8825,1.84334,1.95026,0.911754,0.945235,0.0334816
-4.88125,1.83606,1.95026,0.910721,0.945235,0.0345143
-4.88,1.83243,1.94657,0.910205,0.944734,0.0345293
-4.87875,1.83243,1.95026,0.910205,0.945235,0.0350307
-4.8775,1.83243,1.94657,0.910205,0.944734,0.0345293
